彩种,类型,排名,组合,自身遗漏,自身r,自身z,关联数,关联均值z,邻冷比例,强匹配,经验概率,综合得分,上次开出
体彩排三,两码组六,2,35,39,1.831,0.89,2,-0.08,0.5,0,4.683,0.84,2026216
体彩排三,两码组六,3,24,35,1.693,0.7,2,-0.56,0.5,0,4.825,0.37,2026220
体彩排三,两码组六,4,48,35,1.752,0.79,2,-0.85,0.0,0,4.994,0.28,2026220
体彩排三,两码组六,5,29,31,1.408,0.45,2,-0.41,0.5,0,4.528,0.21,2026224
体彩排三,两码组六,6,14,28,1.558,0.52,2,-0.72,0.0,0,5.55,0.09,2026227
体彩排三,两码组六,7,56,27,1.247,0.24,2,-0.37,0.5,0,4.605,0.02,2026228
体彩排三,两码组六,8,18,24,1.124,0.11,2,-0.37,0.0,0,4.67,-0.11,2026231
体彩排三,两码组六,9,34,28,1.373,0.4,2,-0.87,0.0,0,4.89,-0.12,2026227
体彩排三,两码组六,10,08,23,1.184,0.19,2,-0.69,0.0,0,5.136,-0.22,2026232
体彩排三,两码组六,11,49,25,1.31,0.3,2,-1.04,0.0,0,5.226,-0.33,2026230
体彩排三,两码组六,12,25,10,0.458,-0.54,2,0.23,1.0,0,4.567,-0.4,2026245
体彩排三,两码组六,13,03,21,0.989,-0.01,2,-0.72,0.0,0,4.696,-0.44,2026234
体彩排三,两码组六,14,13,17,0.763,-0.24,2,-0.4,0.0,0,4.476,-0.48,2026238
体彩排三,两码组六,15,17,19,0.905,-0.1,2,-0.71,0.0,0,4.748,-0.52,2026236
体彩排三,两码组六,16,57,15,0.695,-0.31,2,-0.39,0.5,0,4.618,-0.55,2026240
体彩排三,两码组六,17,15,8,0.355,-0.62,2,0.08,0.5,0,4.424,-0.57,2026247
体彩排三,两码组六,18,12,7,0.349,-0.66,2,-0.08,0.5,0,4.968,-0.71,2026248
体彩排三,两码组六,19,36,17,0.768,-0.24,2,-0.85,0.0,0,4.502,-0.75,2026238
体彩排三,两码组六,20,02,11,0.505,-0.52,2,-0.4,0.5,0,4.58,-0.77,2026244
体彩排三,组六三码,1,238,1025,7.16,5.34,3,-0.85,0.0,0,0.686,4.83,2023284
体彩排三,组六三码,2,468,972,6.413,4.94,3,-0.26,0.333,0,0.647,4.79,2023337
体彩排三,组六三码,3,138,690,4.017,3.26,3,-0.37,0.333,0,0.569,3.04,2024268
体彩排三,组六三码,4,239,574,3.564,3.02,3,-0.46,0.333,0,0.608,2.74,2025032
体彩排三,组六三码,5,456,614,3.654,2.27,3,0.77,0.667,1,0.582,2.73,2024344
体彩排三,组六三码,6,245,529,3.422,2.0,3,1.09,0.667,1,0.634,2.65,2025077
体彩排三,组六三码,7,139,1030,4.93,3.03,3,-0.72,0.0,0,0.466,2.6,2023279
体彩排三,组六三码,8,356,617,3.352,2.25,3,0.3,0.667,0,0.53,2.43,2024341
体彩排三,组六三码,9,457,368,2.523,1.89,3,0.58,0.333,1,0.673,2.24,2025238
体彩排三,组六三码,10,679,626,3.482,2.19,3,-0.73,0.0,0,0.543,1.75,2024332
体彩排三,组六三码,11,058,562,2.835,2.0,3,-0.41,0.333,0,0.492,1.75,2025044
体彩排三,组六三码,12,148,284,2.204,1.19,3,0.47,1.0,0,0.763,1.48,2025322
体彩排三,组六三码,13,024,347,2.11,1.13,3,-0.04,0.333,0,0.595,1.11,2025259
体彩排三,组六三码,14,234,298,2.082,1.05,3,0.07,0.667,0,0.686,1.09,2025308
体彩排三,组六三码,15,478,387,2.003,1.27,3,-0.31,0.333,0,0.505,1.08,2025219
体彩排三,组六三码,16,489,315,2.201,1.04,3,0.04,0.667,0,0.686,1.07,2025291
体彩排三,组六三码,17,379,291,2.409,1.35,3,-0.7,0.0,0,0.815,0.93,2025315
体彩排三,组六三码,18,349,303,1.803,0.91,3,-0.08,0.667,0,0.582,0.86,2025303
体彩排三,组六三码,19,567,289,1.832,0.99,3,-0.33,0.333,0,0.621,0.79,2025317
体彩排三,组六三码,20,348,288,1.565,0.63,3,0.07,0.667,0,0.53,0.68,2025318
体彩排三,组六四码,1,1238四码,338,7.696,5.74,10,0.68,0.5,2,2.264,6.15,2025268
体彩排三,组六四码,2,2457四码,218,5.358,4.88,10,0.58,0.6,3,2.445,5.23,2026037
体彩排三,组六四码,3,0245四码,204,4.724,3.5,10,0.57,0.6,3,2.303,3.85,2026051
体彩排三,组六四码,4,3567四码,200,4.45,3.27,10,0.25,0.6,1,2.212,3.42,2026055
体彩排三,组六四码,5,0239四码,172,3.827,3.15,10,0.05,0.3,1,2.212,3.18,2026083
体彩排三,组六四码,6,4789四码,157,3.656,2.39,10,0.05,0.5,2,2.316,2.42,2026098
体彩排三,组六四码,7,1568四码,160,3.457,2.37,10,-0.09,0.5,0,2.147,2.31,2026095
体彩排三,组六四码,8,1489四码,116,3.121,2.13,10,0.21,0.7,2,2.678,2.26,2026139
体彩排三,组六四码,9,0257四码,155,3.309,2.32,10,-0.12,0.3,0,2.122,2.25,2026100
体彩排三,组六四码,10,3568四码,126,3.032,2.13,10,0.06,0.4,1,2.393,2.17,2026129
体彩排三,组六四码,11,1468四码,99,2.638,1.47,10,0.57,0.6,2,2.652,1.82,2026156
体彩排三,组六四码,12,4568四码,79,2.095,1.2,10,0.87,0.6,3,2.639,1.72,2026176
体彩排三,组六四码,13,0234四码,105,2.554,1.57,10,0.17,0.5,2,2.419,1.67,2026150
体彩排三,组六四码,14,3456四码,92,2.142,1.19,10,0.72,0.6,3,2.316,1.62,2026163
体彩排三,组六四码,15,6789四码,124,2.887,1.74,10,-0.25,0.1,1,2.316,1.59,2026131
体彩排三,组六四码,16,2349四码,90,2.235,1.28,10,0.45,0.7,2,2.471,1.55,2026165
体彩排三,组六四码,17,1456四码,99,2.331,1.24,10,0.38,0.5,2,2.342,1.47,2026156
体彩排三,组六四码,18,1458四码,79,2.095,1.18,10,0.35,0.5,2,2.639,1.39,2026176
体彩排三,组六四码,19,3468四码,92,2.083,1.1,10,0.32,0.4,1,2.251,1.29,2026163
体彩排三,组六四码,20,2456四码,94,2.165,0.97,10,0.52,0.5,3,2.29,1.28,2026161
体彩排三,组三,1,"组三(9,2)",1173,4.704,3.6,2,-0.41,0.5,0,0.388,3.36,2023136
体彩排三,组三,2,"组三(6,1)",2231,6.061,3.52,2,-0.69,0.0,0,0.259,3.1,2020092
体彩排三,组三,3,"组三(7,5)",913,3.307,2.32,2,-0.39,0.5,0,0.349,2.08,2024045
体彩排三,组三,4,"组三(3,6)",847,2.63,2.48,2,-0.85,0.0,0,0.298,1.97,2024111
体彩排三,组三,5,"组三(5,3)",641,2.571,1.59,2,-0.08,0.5,0,0.388,1.55,2024317
体彩排三,组三,6,"组三(0,1)",1177,3.045,1.74,2,-0.56,0.0,0,0.246,1.4,2023132
体彩排三,组三,7,"组三(8,1)",716,2.13,1.6,2,-0.37,0.0,0,0.285,1.37,2024242
体彩排三,组三,8,"组三(9,5)",731,2.459,1.52,2,-0.25,0.5,0,0.323,1.37,2024227
体彩排三,组三,9,"组三(7,3)",1081,2.517,1.63,2,-0.87,0.0,0,0.22,1.11,2023228
体彩排三,组三,10,"组三(4,6)",752,2.918,1.71,2,-1.17,0.0,0,0.375,1.01,2024206
体彩排三,组三,11,"组三(9,1)",812,1.786,1.35,2,-0.57,0.0,0,0.207,1.01,2024146
体彩排三,组三,12,"组三(1,0)",1095,2.266,1.33,2,-0.56,0.0,0,0.194,1.0,2023214
体彩排三,组三,13,"组三(4,0)",665,2.409,1.45,2,-1.04,0.0,0,0.349,0.83,2024293
体彩排三,组三,14,"组三(0,8)",644,1.916,1.22,2,-0.69,0.0,0,0.285,0.8,2024314
体彩排三,组三,15,"组三(5,0)",760,2.065,0.93,2,-0.24,0.5,0,0.259,0.79,2024198
体彩排三,组三,16,"组三(0,6)",669,2.51,1.27,2,-1.01,0.0,0,0.362,0.66,2024289
体彩排三,组三,17,"组三(3,5)",386,1.748,0.7,2,-0.08,0.5,0,0.44,0.65,2025220
体彩排三,组三,18,"组三(3,9)",658,1.788,1.08,2,-0.72,0.0,0,0.259,0.65,2024300
体彩排三,组三,19,"组三(9,0)",541,2.31,1.18,2,-0.89,0.0,0,0.414,0.65,2025065
体彩排三,组三,20,"组三(8,5)",495,1.409,0.68,2,-0.06,0.5,0,0.272,0.65,2025111
体彩排三,组三三码,1,367三码,258,4.339,3.11,3,1.41,1.0,1,1.669,3.95,2025348
体彩排三,组三三码,2,258三码,233,3.888,3.19,3,0.88,1.0,2,1.656,3.72,2026022
体彩排三,组三三码,3,036三码,208,3.66,2.77,3,1.5,1.0,2,1.746,3.67,2026047
体彩排三,组三三码,4,128三码,195,3.355,2.37,3,0.59,1.0,1,1.708,2.73,2026060
体彩排三,组三三码,5,014三码,134,2.427,1.69,3,1.35,0.667,1,1.798,2.5,2026121
体彩排三,组三三码,6,089三码,146,3.135,2.38,3,0.1,1.0,0,2.135,2.45,2026109
体彩排三,组三三码,7,012三码,164,2.546,1.58,3,1.41,0.667,1,1.539,2.42,2026091
体彩排三,组三三码,8,018三码,146,2.512,1.54,3,1.34,1.0,1,1.708,2.35,2026109
体彩排三,组三三码,9,049三码,134,2.93,1.97,3,0.3,0.667,0,2.173,2.15,2026121
体彩排三,组三三码,10,028三码,146,2.531,1.79,3,0.32,0.667,1,1.721,1.98,2026109
体彩排三,组三三码,11,357三码,96,2.037,1.06,3,0.93,0.667,1,2.109,1.62,2026159
体彩排三,组三三码,12,346三码,119,2.094,1.08,3,0.75,0.333,1,1.746,1.53,2026136
体彩排三,组三三码,13,046三码,119,2.309,1.24,3,0.39,0.333,1,1.928,1.48,2026136
体彩排三,组三三码,14,019三码,97,1.656,0.71,3,1.12,0.667,1,1.695,1.39,2026158
体彩排三,组三三码,15,358三码,80,1.583,0.68,3,1.07,0.667,2,1.966,1.32,2026175
体彩排三,组三三码,16,356三码,69,1.392,0.36,3,1.56,0.667,2,2.005,1.3,2026186
体彩排三,组三三码,17,467三码,112,2.13,1.15,3,0.16,0.333,0,1.889,1.25,2026143
体彩排三,组三三码,18,039三码,110,2.191,1.19,3,0.03,0.667,0,1.979,1.21,2026145
体彩排三,组三三码,19,349三码,110,2.12,1.16,3,0.06,0.333,0,1.915,1.2,2026145
体彩排三,组三三码,20,347三码,112,2.188,1.11,3,0.09,0.333,0,1.94,1.16,2026143
